Frequency,DutyCycle,Run,RPM
2000.0,234.0,1.0,514.29
2000.0,236.0,1.0,514.29
2000.0,238.0,1.0,514.29
2000.0,240.0,1.0,517.14
2000.0,242.0,1.0,517.14
2000.0,244.0,1.0,520.0
2000.0,246.0,1.0,520.0
2000.0,248.0,1.0,517.14
2000.0,250.0,1.0,517.14
2000.0,252.0,1.0,520.0
2000.0,254.0,1.0,528.57
2250.0,0.0,1.0,0.0
2250.0,2.0,1.0,0.0
2250.0,4.0,1.0,0.0
2250.0,6.0,1.0,0.0
2250.0,8.0,1.0,0.0
2250.0,10.0,1.0,0.0
2250.0,12.0,1.0,0.0
2250.0,14.0,1.0,0.0
2250.0,16.0,1.0,0.0
2250.0,18.0,1.0,0.0
2250.0,20.0,1.0,0.0
2250.0,22.0,1.0,0.0
2250.0,24.0,1.0,0.0
2250.0,26.0,1.0,0.0
2250.0,28.0,1.0,0.0
2250.0,30.0,1.0,0.0
2250.0,32.0,1.0,0.0
2250.0,34.0,1.0,0.0
2250.0,36.0,1.0,0.0
2250.0,38.0,1.0,0.0
2250.0,40.0,1.0,0.0
2250.0,42.0,1.0,0.0
2250.0,44.0,1.0,0.0
2250.0,46.0,1.0,2.86
2250.0,48.0,1.0,0.0
2250.0,50.0,1.0,0.0
2250.0,52.0,1.0,0.0
2250.0,54.0,1.0,0.0
2250.0,56.0,1.0,0.0
2250.0,58.0,1.0,0.0
2250.0,60.0,1.0,0.0
2250.0,62.0,1.0,22.86
2250.0,64.0,1.0,80.0
2250.0,66.0,1.0,120.0
2250.0,68.0,1.0,154.29
2250.0,70.0,1.0,180.0
2250.0,72.0,1.0,200.0
2250.0,74.0,1.0,217.14
2250.0,76.0,1.0,234.29
2250.0,78.0,1.0,248.57
2250.0,80.0,1.0,260.0
2250.0,82.0,1.0,274.29
2250.0,84.0,1.0,282.86
2250.0,86.0,1.0,294.29
2250.0,88.0,1.0,302.86
2250.0,90.0,1.0,311.43
2250.0,92.0,1.0,320.0
2250.0,94.0,1.0,328.57
2250.0,96.0,1.0,334.29
2250.0,98.0,1.0,342.86
2250.0,100.0,1.0,348.57
2250.0,102.0,1.0,354.29
2250.0,104.0,1.0,360.0
2250.0,106.0,1.0,368.57
2250.0,108.0,1.0,371.43
2250.0,110.0,1.0,377.14
2250.0,112.0,1.0,382.86
2250.0,114.0,1.0,388.57
2250.0,116.0,1.0,391.43
2250.0,118.0,1.0,394.29
2250.0,120.0,1.0,402.86
2250.0,122.0,1.0,402.86
2250.0,124.0,1.0,408.57
2250.0,126.0,1.0,411.43
2250.0,128.0,1.0,414.29
2250.0,130.0,1.0,417.14
2250.0,132.0,1.0,422.86
2250.0,134.0,1.0,425.71
2250.0,136.0,1.0,428.57
2250.0,138.0,1.0,431.43
2250.0,140.0,1.0,434.29
2250.0,142.0,1.0,437.14
2250.0,144.0,1.0,440.0
2250.0,146.0,1.0,442.86
2250.0,148.0,1.0,445.71
2250.0,150.0,1.0,448.57
2250.0,152.0,1.0,448.57
2250.0,154.0,1.0,451.43
2250.0,156.0,1.0,451.43
2250.0,158.0,1.0,448.57
2250.0,160.0,1.0,448.57
2250.0,162.0,1.0,451.43
2250.0,164.0,1.0,448.57
2250.0,166.0,1.0,448.57
2250.0,168.0,1.0,451.43
2250.0,170.0,1.0,448.57
2250.0,172.0,1.0,448.57
